	主功能复位后	默认复用功能	重定义功能
73	PB12	SPI2_NSS/I2S2_WS/I2C2_SMBA/USART3_CK(7)/TIM1_BKIN(7)	
74	PB13	SPI2_SCK/I2S2_CK/USART3_CTS(7)/TIM1_CH1N	
75	PB14	SPI2_MISO/TIM1_CH2N/USART3_RTS(7)	
76	PB15	SPI2_MOSI/I2S2_SD/TIM1_CH3N(7)	
			
26	PC0	ADC123_IN10	
27	PC1	ADC123_IN11	
28	PC2	ADC123_IN12	
29	PC3	ADC123_IN13	
44	PC4	ADC12_IN14	
45	PC5	ADC12_IN15	
96	PC6	I2S2_MCK/TIM8_CH1/SDIO_D6	TIM3_CH1
97	PC7	I2S3_MCK/TIM8_CH2/SDIO_D7	TIM3_CH2
98	PC8	TIM8_CH3/SDIO_D0	TIM3_CH3
99	PC9	TIM8_CH4/SDIO/D1	TIM3_CH4
111	PC10	USART4_TX/SDIO_D2	USART3_TX
112	PC11	USART4_RX/SDIO_D3	USART3_RX
113	PC12	USART5_TX/SDIO_CK 	USART3_CK
7	PC13(5)	TAMPER-RTC	
8	PC14(5)	OSC32_IN	
9	PC15(5)	OSC32_OUT	
			
114	OSC_IN(8)	PD0/FSMC_D2(9)	CAN_RX
115	OSC_OUT(8)	PD1/FSMC_D3(9)	CAN_TX
116	PD2	TIM3_ETR/USART5_RX/SDIO_CMD	
117	PD3	FSMC_CLK	USART2_CTS
118	PD4	FSMC_NOE	USART2_RTS
119	PD5	FSMC_NWE 	USART2_TX
122	PD6	FSMC_NWAIT	USART2_RX
123	PD7	FSMC_NE1/FSMC_NCE2	USART2_CK
77	PD8	FSMC_D13	USART3_TX
78	PD9	FSMC_D14	USART3_RX
79	PD10	FSMC_D15	USART3_CK
80	PD11	FSMC_A16	USART3_CTS
81	PD12	FSMC_A17	TIM4_CH1/USART3_RTS
82	PD13	FSMC_A18	TIM4_CH2
85	PD14	FSMC_D0	TIM4_CH3
86	PD15	FSMC_D1	TIM4_CH4
			
141	PE0	TIM4_ETR/FSMC_NBL0	
142	PE1	FSMC_NBL1	
1	PE2	TRACECK/FSMC_A23	
2	PE3	TRACED0/FSMC_A19	
3	PE4	TRACED1/FSMC_A20	
4	PE5	TRACED2/FSMC_A21	
5	PE6	TRACED3/FSMC_A22	
58	PE7	FSMC_D4	TIM1_ETR
59	PE8	FSMC_D5	TIM1_CH1N
60	PE9	FSMC_D6	TIM1_CH1
63	PE10	FSMC_D7	TIM1_CH2N
64	PE11	FSMC_D8	TIM1_CH2
65	PE12	FSMC_D9	TIM1_CH3N
66	PE13	FSMC_D10	TIM1_CH3
67	PE14	FSMC_D11	TIM1_CH4
68	PE15	FSMC_D12	TIM1_BKIN
			
10	PF0	FSMC_A0	
11	PF1	FSMC_A1	
12	PF2	FSMC_A2	
13	PF3	FSMC_A3	
14	PF4	FSMC_A4	
15	PF5	FSMC_A5	
18	PF6	ADC3_IN4/FSMC_NIORD	
19	PF7	ADC3_IN5/FSMC_NREG	
20	PF8	ADC3_IN6/FSMC_NIOWR	
21	PF9	ADC3_IN7/FSMC_CD	
22	PF10	ADC3_IN8/FSMC_INTR	
49	PF11	FSMC_NIOS16	
50	PF12	FSMC_A6	
53	PF13	FSMC_A7	
54	PF14	FSMC_A8	
55	PF15	FSMC_A9	
			
56	PG0	FSMC_A10	
57	PG1	FSMC_A11	
87	PG2	FSMC_A12	
88	PG3	FSMC_A13	
89	PG4	FSMC_A14	
90	PG5	FSMC_A15	
91	PG6	FSMC_INT2	
92	PG7	FSMC_INT3	
93	PG8		
124	PG9	FSMC_NE2/FSMC_NCE3	
125	PG10	FSMC_NCE4_1/FSMC_NE3	
126	PG11	FSMC_NCE4_2	
127	PG12	FSMC_NE4	
128	PG13	FSMC_A24	
129	PG14	FSMC_A25	
132	PG15		
